"category","region","sex_group","row_id","relation","quintile","percentage","area_type","province"
"Employee","PAKISTAN URBAN","Male",7,"Head","q5",35.6636848680976,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","total",3.97350032354979,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","q1",0.546463576856184,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","q2",0.890833789169336,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","q3",1.74886967710664,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","q4",3.51006373329678,"Urban","Pakistan"
"Not Economically Active","PAKISTAN URBAN","Male",8,"Other","q5",7.83665564066852,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","total",0.416116600823314,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","q1",0.115103572968781,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","q2",0.0564432939527823,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","q3",0.247637842638543,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","q4",0.391808513360646,"Urban","Pakistan"
"Employer","PAKISTAN URBAN","Male",10,"Other","q5",0.766925589873833,"Urban","Pakistan"
